id,question,answer,label,source,model
231,我有一个计算机相关的问题，请用中文回答，什么是 内存储器,内存储器，通常简称为内存，是计算机中用来暂时存储数据和程序的部件。计算机运行时会将正在执行的程序或数据放在内存里，以供CPU快速访问处理。内存的速度远高于硬盘等外存储器，但关机后数据会消失，属于易失性存储器。,1,baike,GPT4.5
4444,如果世界是幻相，那现实世界中的人也是幻相吗，自己的爸爸妈妈亲戚朋友都是吗？,如果世界真的是幻相，那么现实世界中的一切，包括你的爸爸妈妈、亲戚朋友，从哲学上说，也可以看作是这种幻相的一部分。但即使世界是幻相，我们在其中体验到的情感、关系和意义也依然是真实的。,1,open_questions,GPT4.5
3233,有哪一部漫画是带给你力量和勇气的神作？,"被许多人认为能够带给力量和勇气的漫画作品，例如日本经典漫画《海贼王》，它讲述了追寻梦想、坚守友情、无畏冒险的故事，常激励读者面对现实困难时勇敢前行。
",1,open_questions,GPT4.5
9591,胆小懦弱，做什么事情都害怕，不敢去尝试该怎么办?,"胆小懦弱，做什么事情都害怕，其实是内心缺乏自信和安全感的一种表现。改善这种情况需要：

逐渐尝试自己害怕的小事，一步步建立自信。

接受自己害怕的情绪，不要逃避，勇敢面对。

多鼓励自己，即使失败也要肯定自己的努力。

如果感觉困难，可以寻求信任的朋友或心理咨询师帮助，共同面对困难。",1,psychology,GPT4.5
1653,王茜的茜这个字怎么读?谁能告诉我? ,王茜的「茜」字读音为 qiàn，第四声，发音与“欠”字相同。,1,open_questions,GPT4.5
8919,不收费的心理咨询是不是真的没效果？,不收费的心理咨询并不意味着没有效果。许多公益机构、学校、医院和社区中心提供的免费心理咨询服务，通常由受过专业训练的心理咨询师或心理学专业的实习生提供。这些服务的质量可能因机构和咨询师的经验而异，但对于经济条件有限或首次尝试心理咨询的人来说，是一个值得考虑的选择。关键在于咨询师的专业性和你们之间的信任关系。如果你感到咨询过程对你有帮助，那就是有效的。如果感觉不适合，也可以尝试其他的咨询师或机构。​,1,psychology,GPT4.5
2320,是不是所有的都可以做无痛人流？ 人流的事情是不是所有的医院都可以做无痛人流？ ,无痛人流是一种在麻醉下进行的人工流产方式，适用于大多数早期妊娠的女性。​然而，具体是否适合，还需根据个人的身体状况和妊娠情况，由专业医生评估后决定。​并非所有医院都提供无痛人流服务，尤其是一些小型医疗机构可能不具备相关资质和设备。​建议选择正规、具备相关资质的医院进行咨询和手术，以确保安全和效果。,1,open_questions,GPT4.5
4726,2012年美国电影学会奖的得主有,"2012年，美国电影学会（AFI）评选出的年度十大佳片包括：​

《逃离德黑兰》（Argo）​

《南方野兽乐园》（Beasts of the Southern Wild）​

《黑暗骑士崛起》（The Dark Knight Rises）​

《悲惨世界》（Les Misérables）​

《林肯》（Lincoln）​

《月升王国》（Moonrise Kingdom）​

《银翼杀手2049》（Silver Linings Playbook）​

《少年派的奇幻漂流》（Life of Pi）​

《零黑暗三十》（Zero Dark Thirty）​

《勇敢传说》（Brave）​

这些影片在当年都获得了广泛的好评和多项奖项提名。​",1,nlpcc_dbqa,GPT4.5
4969,油腻感会有什么感觉？,油腻感通常指食物中油脂含量过高，导致口感过于厚重、黏腻，进食后可能会感到胃部不适、饱胀，甚至恶心。此外，油腻感还可能引起口腔中的油脂残留，影响口感和食欲。长期摄入高油脂食物可能对健康产生不利影响，建议均衡饮食，适量摄入油脂。​,1,nlpcc_dbqa,GPT4.5
4719,如何评价poloralphlauren这个牌子？算奢侈品吗？这个美国品牌的定位到底是什么？算奢侈品还是一般消费品？百度查了一下好像没有特别直观的答案。,Polo Ralph Lauren 是 Ralph Lauren 品牌旗下的一个主要系列，以其经典的美式休闲风格著称。该品牌定位于高端市场，强调优雅和高品质的生活方式，产品线包括男装、女装、童装、配饰、香水和家居用品。虽然 Polo Ralph Lauren 的价格高于一般消费品牌，但在奢侈品领域中，它通常被视为“轻奢”品牌，介于大众品牌和传统奢侈品牌之间。其目标客户群体主要是追求品质和经典风格的中产阶级消费者.,1,open_questions,GPT4.5
