id,question,answer,label,source
231,我有一个计算机相关的问题，请用中文回答，什么是 内存储器,内存(Memory)是计算机的重要部件，也称内存储器和主存储器，它用于暂时存放CPU中的运算数据，以及与硬盘等外部存储器交换的数据。 它是外存与CPU进行沟通的桥梁，计算机中所有程序的运行都在内存中进行，内存性能的强弱影响计算机整体发挥的水平。 只要计算机开始运行，操作系统就会把需要运算的数据从内存调到CPU中进行运算，当运算完成，CPU将结果传送出来。  内存的运行决定计算机整体运行快慢。  内存条由内存芯片、电路板、金手指等部分组成。,0,baike
4444,如果世界是幻相，那现实世界中的人也是幻相吗，自己的爸爸妈妈亲戚朋友都是吗？,绝对幻象相对真实。 在你是一个幻象的时候，其他同维度的幻象相对于你是真实的 如果你升维了。 比如你现在在时间维度上是固定的，不能自由的在时间轴上移动，那么别人相对于你就是真实的。 当你能在时间轴上自由移动的时候。 那么你可以把晚一点得其他人当做幻象处理。 如果你能在可能性分支树上自由移动，那么所有时间的所有人都可以当做幻象处理。 所以看你的真实境界，看你是个几维的生物。,0,open_questions
3233,有哪一部漫画是带给你力量和勇气的神作？,居然我的第一次破百是钢炼，超级感动！ 那就加一点东西吧 “想要得到一样东西，就必须付出与之相等的代价，这就是炼金术的基本原则等价交换。 那时候我们相信这就是世界的真理。”  最开始是初中的时候传阅一本介绍钢炼的书，当时我就对他这句话深深的共鸣了，那个时候我就有这种类似想法了，然后这部动画恰好就是以这为真理的世界，以及抱有这种想法的主角两兄弟的故事 然而最令我沮丧的是，他花了40集去讲“等价交换”，却在,0,open_questions
9591,胆小懦弱，做什么事情都害怕，不敢去尝试该怎么办?,你好，不管在人际关系中别人如何，我们首先要做的就是照顾好自己的身体和心理，这样的我们才会能够更好的设身处地知道别人的需要感受和情绪，所以如果你愿意的话请想一下你在人际中是感受内在平和和舒服的吗？ 包括不敢去尝试，恐惧胆子小，我们来假设一下，如果你的胆子小会说话我们会听到他说些什么呢，是害怕出错被被人笑话还是什么呢，我们自己是否又接受这样的自己呢,0,psychology
1653,王茜的茜这个字怎么读?谁能告诉我? ,２个读音　　一个是ｘｉ　一个是ｑｉａｎ,0,open_questions
8919,不收费的心理咨询是不是真的没效果？,咨询有没有效果和收不收费没有关系，只和你是否选择了适合自己的咨询师，和你的改变动力强不强有关相关的几个个人看法是1 不收费的咨询关系更容易解散。 因为来访者没有金钱付出可以随时跑路，咨询师没有收入激励只是学校的固定工资可能觉得不平衡不愿意深入投入（和同一个咨询师的付费咨询相比）2 同一个咨询者愿意提前多个咨询时间付费的话，改变意愿更强，至少会有不改变不咨询钱就白花了。 3 你问出这句话，代表你已经准备逃离了。 因为可能碰到伤口太疼，所以在手术一半的时候你要下手术台撤了。 看到真相可能会痛苦，所以提前跑掉也是一种自我保护。 虽说长痛不如短痛，但是短痛太痛了也可能受不了。 4 跑了的话你可能就会不咨询，因为你会说免费的没有效果，付费的没钱。 这样你就可以继续维持原有状态了。 5 跑掉的话可能会继续长痛，做好准备的时候可以继续去咨询。 6与其是拿这个理由去跟咨询师说，还不如直接说分析自己太痛苦了，你需要沉淀一段时间，感谢咨询师的付出，更好些。 祝好,0,psychology
2320,是不是所有的都可以做无痛人流？ 人流的事情是不是所有的医院都可以做无痛人流？ ,"基本上都可以.但是我建议你去大医院做.就是政府部门开的医院,千万别去小诊所.小医院,弄不干净会有很多后遗症,很麻烦.",0,open_questions
4726,2012年美国电影学会奖的得主有,《少年PI的奇幻漂流》,0,nlpcc_dbqa
4969,油腻感会有什么感觉？,加脂不当，使油脂过多地附于革的两面，外观显油迹，手感油腻。,0,nlpcc_dbqa
4719,如何评价poloralphlauren这个牌子？算奢侈品吗？这个美国品牌的定位到底是什么？算奢侈品还是一般消费品？百度查了一下好像没有特别直观的答案。,发个之前写过的RALPH LAUREN产品线全解析。 Ralph Lauren Purple Label Ralph Lauren Collection 肯定是算奢侈品的，红毯明星什么的很人穿。 而Polo这个系列，只能算生活中实穿的衣服吧。 Ralph Lauren 一定是在中国消费者心目中，最能够代表美国的服装品牌之一。 如Ralph Lauren（拉夫劳伦 ）先生本人所说：“我设计的目的就是去实现人们心目中的美梦可以想象到的最好现实。”  它家除了时装之外，香水童装家具等等产品，,0,open_questions
740,我有一个计算机相关的问题，请用中文回答，什么是 智能系统,智能系统（Intelligence system）是指能产生人类智能行为的计算机系统。 智能系统不仅可自组织性与自适应性地在传统的诺依曼的计算机上运行，而且也可自组织性与自适应性地在新一代的非诺依曼结构的计算机上运行。 “智能”的含义很广，其本质有待进一步探索，因而，对：“智能”这一词也难于给出一个完整确切的定义，但一般可作这样的表述：智能是人类大脑的较高级活动的体现，它至少应具备自动地获取和应用知识的能力、思维与推理的能力、问题求解的能力和自动学习的能力。,0,baike
